"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","MTP","HIGHSD","OUTLIERRG"
"800","38.3304252624512","2.25181818008423","81.6810760498047","85.8512420654297","73.4504776000977","71.9689712524414","65","10","0.5","Lutjanidae1","4.4","sentino","F11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","71","FALSE","Target 1","UNKNOWN","SYBR","None","34.9568138122559","3.80497860908508","","","","","","","","TRUE","0.135016590886038","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.962957887662372","Y","Y","N"
"800","30.8324012756348","2.17983365058899","83.1625823974609","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","72","FALSE","Target 1","UNKNOWN","SYBR","None","34.9568138122559","3.80497860908508","","","","","","","","TRUE","0.135016590886038","TRUE","3","26","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.950643208773017","N","Y","N"
"801_WC","29.5774993896484","2.40914416313171","82.8690872192383","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","G1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","73","FALSE","Target 1","UNKNOWN","SYBR","None","35.2631301879883","4.94075489044189","","","","","","","","TRUE","0.135016590886038","TRUE","3","24","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.933105700168907","N","Y","N"
"801_WC","37.6981925964355","2.41208243370056","81.1698608398438","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","G2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","74","FALSE","Target 1","UNKNOWN","SYBR","None","35.2631301879883","4.94075489044189","","","","","","","","TRUE","0.135016590886038","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.948951076970625","N","Y","N"
"801_WC","38.5136985778809","2.37213444709778","82.2602462768555","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","G3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","75","FALSE","Target 1","UNKNOWN","SYBR","None","35.2631301879883","4.94075489044189","","","","","","","","TRUE","0.135016590886038","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.941289577913403","N","Y","N"
"681_BC","31.5010509490967","1.90474951267242","82.5900497436523","71.8164520263672","","","65","10","0.5","Lutjanidae1","4.4","control_bleach_sentino","G4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","76","FALSE","Target 1","UNKNOWN","SYBR","None","33.0888481140137","1.40709292888641","","","","","","","","TRUE","0.135016590886038","TRUE","3","26","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_bleach_sentino","0.964114777975605","Y","Y","N"
"681_BC","33.5842781066895","1.90844750404358","66.8671951293945","88.6660003662109","82.6260223388672","70.6009979248047","65","10","0.5","Lutjanidae1","4.4","control_bleach_sentino","G5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","77","FALSE","Target 1","UNKNOWN","SYBR","None","33.0888481140137","1.40709292888641","","","","","","","","TRUE","0.135016590886038","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_bleach_sentino","0.941579003540046","Y","Y","N"
"681_BC","34.1812171936035","1.86781668663025","82.7907562255859","","","","65","10","0.5","Lutjanidae1","4.4","control_bleach_sentino","G6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","78","FALSE","Target 1","UNKNOWN","SYBR","None","33.0888481140137","1.40709292888641","","","","","","","","TRUE","0.135016590886038","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_bleach_sentino","0.931770625030797","N","Y","N"
"758_BC","34.4613342285156","2.1451210975647","81.8696746826172","79.6716156005859","","","65","10","0.5","Lutjanidae1","4.4","control_bleach_sentino","G7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","79","FALSE","Target 1","UNKNOWN","SYBR","None","32.7073364257812","4.28393411636353","","","","","","","","TRUE","0.135016590886038","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_bleach_sentino","0.929829189381093","Y","Y","N"
"758_BC","27.8247528076172","2.06976675987244","82.8038482666016","","","","65","10","0.5","Lutjanidae1","4.4","control_bleach_sentino","G8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","80","FALSE","Target 1","UNKNOWN","SYBR","None","32.7073364257812","4.28393411636353","","","","","","","","TRUE","0.135016590886038","TRUE","3","23","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_bleach_sentino","0.940937992279578","N","Y","N"
